  0.900   0.633
  0.855  -0.088
  1.023   1.410
 -1.245   0.379
  0.501   0.305
  1.069   0.312
 -0.016  -0.335
  0.940   1.027
  0.975   1.005
  0.997   1.125
  1.062   0.393
 -1.272   0.253
 -1.098   0.121
  0.265   0.816
  1.001   1.445
  0.864   0.336
  0.830  -0.136
  1.319   0.286
 -0.678   0.154
  1.082   0.752
  1.305  -1.129
  0.804   0.539
  1.210   0.089
  0.125   0.193
  0.043   0.731
 -0.806   0.449
 -0.511   0.071
 -1.173  -0.145
  0.906  -0.807
 -1.165  -0.046
 -1.162  -0.156
 -0.058   1.268
 -0.124  -0.084
  0.877  -0.463
 -0.100   1.465
  0.954   0.739
 -0.989  -0.194
  0.025   0.689
 -0.125   0.077
 -0.843  -0.349
 -1.056   0.068
  0.244   0.198
  1.170   0.529
  1.132   1.085
 -0.552  -0.582
 -0.107   0.042
  1.077  -1.205
  1.072  -1.071
  1.120  -0.044
 -0.192   0.060
  1.088  -1.257
  0.121  -0.003
  0.852  -1.047
  0.242   0.147
  0.297   0.415
  0.175   0.158
  0.885   0.516
 -1.152   0.760
  1.011   1.312
  1.010  -0.223
 -0.986   0.132
 -0.763   0.164
  1.313   1.309
  0.674   0.787
  0.015   0.329
 -0.920   0.239
  0.847   0.926
 -0.257  -0.310
  1.105  -0.377
 -0.846  -0.284
 -0.945   0.097
 -0.963  -0.067
  0.551   0.980
  0.777   0.185
  1.628   0.029
 -0.031  -0.338
 -0.091  -0.246
  0.105   1.481
  0.761  -0.399
  0.967   1.163
  1.187   1.382
 -0.780  -0.129
  1.417   0.119
 -0.903   0.006
  0.856  -0.210
  0.115  -0.028
 -1.344   0.060
 -1.398  -0.070
 -0.923   0.052
  0.200   0.480
  0.018   0.756
  0.373   1.049
  0.151   0.040
 -0.436  -0.085
 -0.319   0.145
 -0.097  -0.459
  0.907   0.923
 -0.939  -0.208
 -0.847  -0.781
 -0.562  -0.310
 -0.914  -0.305
  0.540  -0.101
  0.265   0.232
 -0.925   0.382
 -1.285  -0.149
  0.916  -0.837
  1.427   1.196
 -0.375  -0.054
  0.625  -0.315
  0.186   1.164
  1.154  -1.169
  1.014  -0.940
  0.632   0.135
 -0.945   0.110
 -1.183   0.276
  0.675  -0.300
  0.027  -0.116
  1.163   0.470
 -0.253  -0.238
 -0.726  -0.028
  0.985   1.060
  0.393  -0.012
 -0.331   1.091
  0.370   0.042
  1.168   0.108
  1.171  -0.020
  1.075   1.612
  0.925   0.233
 -0.085   1.087
  0.728   1.022
  1.425  -0.546
 -0.158   0.094
  1.110  -0.144
  1.125  -0.114
  1.338  -0.229
 -0.793  -0.081
 -1.368   0.171
  1.052   0.187
  0.273   1.173
  0.377   1.060
 -0.813   0.494
  1.215   1.098
  0.091   0.826
  0.180   0.204
  0.919  -0.962
  1.173   0.562
 -0.266   0.561
  1.199   0.392
  1.405  -1.096
 -0.791  -0.017
  0.103   1.133
 -0.257   1.316
  0.552  -0.061
 -0.712   0.459
  0.929  -1.086
 -0.297  -0.174
  0.903   1.231
  0.951  -0.817
 -0.056   0.126
  0.939   0.964
 -1.088  -0.326
  0.471   0.117
  0.511   0.004
 -1.166   0.015
  1.431   0.962
  1.023   1.036
  1.246  -0.228
  0.862   1.006
 -0.984  -0.038
  0.900  -1.364
  1.183  -1.271
 -0.555   0.386
  0.018   0.731
  0.777  -0.325
 -1.499  -0.449
  1.103   0.677
  1.342  -0.742
  0.873  -0.397
 -1.040  -0.228
  0.090  -0.003
  1.021   0.977
  1.440   1.160
  0.834   0.704
  0.585  -1.131
  1.422   0.585
  0.934  -0.657
  0.591   1.036
 -1.038  -0.302
  0.298   0.318
  0.201   0.300
 -0.019  -0.140
 -0.116  -0.095
 -0.756  -0.079
 -0.269  -0.062
  0.875   1.015
  0.433  -0.887
 -1.008   0.542
  0.413   0.107
  1.174   0.042
  1.209   1.316
  0.079  -0.513
  0.834  -0.077
 -0.046   0.290
  1.078   0.089
  0.950   1.381
 -0.473  -0.017
  1.362  -0.936
  0.976  -0.134
  0.004  -0.304
 -1.076   0.295
  1.068   0.952
  1.219  -0.286
 -0.503  -0.007
  1.169   0.073
 -0.862   0.037
  0.996  -0.778
 -0.085  -0.016
  1.062   1.132
 -0.881   0.016
  1.113  -1.082
 -0.636   0.226
  0.557   0.992
 -0.983   0.066
  0.184   1.309
 -1.191  -0.283
 -0.822   0.378
  1.013   1.103
 -0.564  -0.023
 -0.995   0.129
  0.680   1.112
  0.122   0.067
 -1.366   0.072
 -0.648  -0.068
 -1.585  -0.330
 -1.069   0.403
  0.991   0.004
 -0.183   0.241
  0.092   0.983
  0.956   1.033
 -0.071   0.436
  0.991   1.056
 -0.125   0.133
  1.224   1.104
  0.668  -0.096
  0.922   1.071
  1.524   0.919
  1.117   0.769
 -0.100   0.412
 -0.710  -0.054
 -0.896  -0.366
  1.349   1.011
  0.915   0.903
  0.996   0.939
 -0.200  -0.280
 -0.524  -0.539
